source_concept_id,source_concept_name,is_retired,type,Reference code system,Reference code,frequency
654,None,0,Misc,CIEL,1107,8030
770,No,0,Misc,CIEL,1066,4767
771,Yes,0,Misc,CIEL,1065,2991
50786,All,0,Misc,CIEL,1163,1365
3481,Continue regimen,0,Misc Order,CIEL,1257,1316
3487,Antiretroviral plan,0,Question,CIEL,1255,1027
39928,PCP prophylaxis plan,0,Question,CIEL,1261,1025
39337,Tuberculosis prophylaxis plan,0,Question,CIEL,1265,1025
12121,Pay category,0,Question,CIEL,5282,1023
38864,Tuberculosis treatment plan,0,Question,CIEL,1268,1022
3380,Return visit date,0,Misc,CIEL,5096,1021
4166,Temperature (C),0,Finding,CIEL,5088,1017
51496,New complaints,0,Question,CIEL,1154,1016
4169,Pulse,0,Finding,CIEL,5087,1016
4173,Arterial blood oxygen saturation (pulse oximeter),0,Question,CIEL,5092,1014
54964,Patient reported current cryptococcus treatment,0,Question,CIEL,1112,1012
4168,Weight (kg),0,Finding,CIEL,5089,1010
42253,Scheduled visit,0,Question,CIEL,1246,1008
51371,Overall drug adherence in last month,0,Question,CIEL,1156,1007
48127,Antiretroviral use,0,Question,CIEL,1192,1003
52746,Pilot,0,Misc,CIEL,1139,975
37447,Cryptococcal treatment plan,0,Question,CIEL,1277,965
4164,Systolic blood pressure,0,Finding,CIEL,5085,959
4165,Diastolic blood pressure,0,Finding,CIEL,5086,959
55043,Patient reported current tuberculosis treatment,0,Question,CIEL,1111,951
11966,Current WHO HIV stage,0,Finding,CIEL,5356,950
10409,Discordant couple,0,Question,CIEL,6096,919
41926,New WHO/CDC staging criteria met,0,Question,CIEL,1248,919
3439,Referrals ordered,0,Question,CIEL,1272,918
55102,Patient reported current tuberculosis prophylaxis,0,Question,CIEL,1110,902
50705,Antiretroviral adherence in past week,0,Question,CIEL,1164,839
10370,Stavudine,1,Drug,,,748
10365,Lamivudine,1,Drug,,,746
51405,Primary regimen,0,Question,CIEL,1155,685
10356,Nevirapine,1,Drug,,,673
55154,Patient reported current PCP prophylaxis,0,Question,CIEL,1109,644
3373,Pregnancy status,0,Question,CIEL,5272,612
52173,Conception since last visit,0,Question,CIEL,1146,576
38390,Tests ordered,0,Question,CIEL,1271,488
46777,WHO stage 3 adult,0,ConvSet,CIEL,1206,403
4368,Trimethoprim and sulfamethoxazole,1,Drug,,,389
10476,PCP prophylaxis adherence in past week,0,Question,CIEL,6065,376
46938,WHO stage 1 adult,0,ConvSet,CIEL,1204,305
656,Unknown,0,Misc,CIEL,1067,289
653,Normal,0,Misc,CIEL,1115,275
225,Serum glutamic-pyruvic transaminase,0,Test,CIEL,654,254
4181,On Antiretrovirals Treatment,0,Misc,SNOMED MVP,OATT,252
229,CD4 count,0,Test,CIEL,5497,191
211,CD4%,0,Test,CIEL,730,189
4739,CD8 count,0,Test,CIEL,853,186
223,CD4 panel,0,LabSet,CIEL,657,172
242,Haemoglobin,0,Test,CIEL,21,166
37599,Medication received at visit,0,Question,CIEL,1276,144
221,White blood cells,0,Test,CIEL,678,143
212,Platelets,0,Test,CIEL,729,142
205,Mean corpuscular volume,0,Test,CIEL,851,141
46880,WHO stage 2 adult,0,ConvSet,CIEL,1205,139
4330,Absolute lymphocyte count,0,Test,CIEL,952,137
10352,Efavirenz,1,Drug,,,133
209,Serum creatinine (umol/L),0,Test,CIEL,790,117
671,Complete blood count,0,LabSet,CIEL,1019,109
