sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:Reference code,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
3608,Musculoskeletal exam findings,48,,1128,0.82,APPROVED,EQUAL,abertnamanya,1786458125697,135930,Musculoskeletal finding,Condition,MAPS_TO,,<auto>,1786456712627,
53681,Neurologic exam findings,48,,1129,0.7,APPROVED,EQUAL,abertnamanya,1786458190721,4011630,Neurological finding,Condition,MAPS_TO,,<auto>,1786456716163,
1509,Failure to thrive,1,,5050,1,APPROVED,EQUAL,abertnamanya,1786458129730,437986,Failure to thrive,Condition,MAPS_TO,,<auto>,1786456718582,
3341,Abdominal swelling,1,,6019,1,APPROVED,EQUAL,abertnamanya,1786458071460,442597,Swollen abdomen,Condition,MAPS_TO,,<auto>,1786456721744,
3071,Tonsillitis,4,,112,1,APPROVED,EQUAL,abertnamanya,1786458073869,4234533,Tonsillitis,Condition,MAPS_TO,,<auto>,1786456722268,
4289,"Conjunctivitis, allergic",1,,995,0.82,APPROVED,EQUAL,abertnamanya,1786458188022,43021807,Allergic conjunctivitis,Condition,MAPS_TO,,<auto>,1786456724127,
1033,Bronchospasm,4,,108,1,APPROVED,EQUAL,abertnamanya,1786458077281,256717,Bronchospasm,Condition,MAPS_TO,,<auto>,1786456726155,
3344,Paresthesia,1,,6004,1,APPROVED,EQUAL,abertnamanya,1786458107699,4236484,Paresthesia,Condition,MAPS_TO,,<auto>,1786456726550,
1117,"Candidiasis, oral",4,,5334,0.78,APPROVED,EQUAL,abertnamanya,1786458181410,433968,Candidiasis,Condition,MAPS_TO,,<auto>,1786456728305,
1530,"Pneumonia, tuberculous",4,,42,0.81,APPROVED,EQUAL,abertnamanya,1786458120504,254266,Tuberculous pneumonia,Condition,MAPS_TO,,<auto>,1786456729941,
1534,"Candidiasis, vaginal",4,,298,0.8,APPROVED,EQUAL,abertnamanya,1786458134288,198363,Candidiasis of vagina,Condition,MAPS_TO,,<auto>,1786456735105,
13973,Fungal infection,4,,171,1,APPROVED,EQUAL,abertnamanya,1786458081132,433701,Mycosis,Condition,MAPS_TO,,<auto>,1786456738882,
3632,Acute coryza,46,,106,1,APPROVED,EQUAL,abertnamanya,1786458084179,260427,Common cold,Condition,MAPS_TO,,<auto>,1786456740198,
52531,National AIDS sexually transmitted disease control program,45,,1141,0.77,APPROVED,EQUAL,abertnamanya,1786458184186,440647,Sexually transmitted infectious disease,Condition,MAPS_TO,,<auto>,1786456753280,
4286,"Respiratory tract infection, NOS",9,,999,0.84,APPROVED,EQUAL,abertnamanya,1786458138357,4170143,Respiratory tract infection,Condition,MAPS_TO,,<auto>,1786456762956,
1002,Myalgia,7,,121,1,APPROVED,EQUAL,abertnamanya,1786458086815,442752,Muscle pain,Condition,MAPS_TO,,<auto>,1786456775490,
3206,"Toxicity, drug",7,,102,0.69,APPROVED,EQUAL,abertnamanya,1786458195264,438028,Poisoning by drug AND/OR medicinal substance,Condition,MAPS_TO,,<auto>,1786456777614,
3612,Cardiac exam findings,49,,1124,0.66,APPROVED,EQUAL,abertnamanya,1786458202432,4103183,Cardiac finding,Condition,MAPS_TO,,<auto>,1786456780454,
2274,Papular pruritic eruption associated with HIV infection,2,,1249,0.63,APPROVED,EQUAL,abertnamanya,1786458198066,44783623,Pulmonary arterial hypertension associated with HIV infection,Condition,MAPS_TO,,<auto>,1786456781150,
48270,Dermatitis,16,,119,1,APPROVED,EQUAL,abertnamanya,1786458092855,45766714,Inflammatory dermatosis,Condition,MAPS_TO,,<auto>,1786456788191,
55104,Dyspepsia,2,,111,1,APPROVED,EQUAL,abertnamanya,1786458146781,439418,Indigestion,Condition,MAPS_TO,,<auto>,1786456788434,
781,Helminthiasis,2,,199,1,APPROVED,EQUAL,abertnamanya,1786458207994,441793,Infection caused by Cestoda and/or Trematoda and/or Phylum Nematoda,Condition,MAPS_TO,,<auto>,1786456790247,
1136,Amoebiasis,3,,124,1,APPROVED,EQUAL,abertnamanya,1786458095790,438959,Amebic infection,Condition,MAPS_TO,,<auto>,1786456798303,
1237,Pelvic inflammatory disease,3,,902,1,APPROVED,EQUAL,abertnamanya,1786458150130,199067,Female pelvic inflammatory disease,Condition,MAPS_TO,,<auto>,1786456802793,
2439,"Anemia, iron deficiency",3,,1226,0.77,APPROVED,EQUAL,abertnamanya,1786458204850,436659,Iron deficiency anemia,Condition,MAPS_TO,,<auto>,1786456809296,
1501,Asymptomatic HIV infection,26,,5327,1,APPROVED,EQUAL,abertnamanya,1786458100703,4241530,Asymptomatic human immunodeficiency virus infection,Condition,MAPS_TO,,<auto>,1786456816318,
5303,Hyperacidity,2,,837,0.76,APPROVED,EQUAL,abertnamanya,1786458211473,4265627,Hyperchlorhydria,Condition,MAPS_TO,,<auto>,1786456820797,
